Rank,Character,Usage_Count
1,Joker,548469
2,Cloud,540023
3,Palutena,494831
4,Bowser,480416
5,Rob,473316
6,Ness,468481
7,Wolf,459501
8,Snake,432477
9,Yoshi,428501
10,Pokemon Trainer,409394
11,Pyra/Mythra,393190
12,Captainfalcon,389770
13,Terry,373127
14,Steve,368723
15,Mario,365711
16,Donkeykong,364279
17,Inkling,344941
18,Sonic,342352
19,Luigi,334817
20,Falco,327521
21,King K. Rool,324287
22,Roy,316843
23,Link,314733
24,King Dedede,306746
25,Samus,303176
26,Mrgameandwatch,302399
27,Pikachu,294734
28,Lucina,292631
29,Incineroar,290298
30,Kazuya,277411
